trace_set,is_anomalous,class,fault_category,fault_name,workload,severity,delay_ms,tier,n_traces,notes
AN_Data_cutBlk_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,35,,3,394,
AN_Data_cutBlk_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,40,,3,380,
AN_Data_cutBlk_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,45,,3,380,
AN_Data_cutBlk_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,50,,3,377,
AN_Data_cutMeta_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,1,,3,355,
AN_Data_cutMeta_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,2,,3,336,
AN_Data_cutMeta_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,3,,3,337,
AN_Data_cutMeta_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,4,,3,345,
AN_Data_cutMeta_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,5,,3,331,
AN_Data_cutMeta_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,10,,3,350,
AN_Data_cutMeta_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,15,,3,333,
AN_Data_cutMeta_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,20,,3,360,
AN_Data_cutMeta_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,25,,3,365,
AN_Data_cutMeta_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,30,,3,386,
AN_Data_cutMeta_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,35,,3,382,
AN_Data_cutMeta_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,40,,3,377,
AN_Data_cutMeta_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,45,,3,369,
AN_Data_cutMeta_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutMeta,r,50,,3,394,
AN_Data_lossBlk_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,1,,3,333,
AN_Data_lossBlk_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,2,,3,311,
AN_Data_lossBlk_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,3,,3,345,
AN_Data_lossBlk_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,4,,3,353,
AN_Data_lossBlk_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,5,,3,354,
AN_Data_lossBlk_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,10,,3,325,
AN_Data_lossBlk_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,15,,3,343,
AN_Data_lossBlk_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,20,,3,359,
AN_Data_lossBlk_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,25,,3,377,
AN_Data_lossBlk_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,30,,3,365,
AN_Data_lossBlk_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,35,,3,364,
AN_Data_lossBlk_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,40,,3,372,
AN_Data_lossBlk_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,45,,3,362,
AN_Data_lossBlk_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossBlk,r,50,,3,357,
AN_Data_lossMeta_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,1,,3,345,
AN_Data_lossMeta_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,2,,3,337,
AN_Data_lossMeta_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,3,,3,343,
AN_Data_lossMeta_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,4,,3,342,
AN_Data_lossMeta_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,5,,3,341,
AN_Data_lossMeta_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,10,,3,331,
AN_Data_lossMeta_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,15,,3,344,
AN_Data_lossMeta_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,20,,3,343,
AN_Data_lossMeta_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,25,,3,347,
AN_Data_lossMeta_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,30,,3,335,
AN_Data_lossMeta_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,35,,3,326,
AN_Data_lossMeta_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,40,,3,349,
AN_Data_lossMeta_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,45,,3,344,
AN_Data_lossMeta_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,lossMeta,r,50,,3,362,
AN_Net_disconnectDN_r_01FDN_30xC_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,1,,2,337,
AN_Net_disconnectDN_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,2,,2,323,
AN_Net_disconnectDN_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,3,,2,326,
AN_Net_disconnectDN_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,4,,2,324,
AN_Net_disconnectDN_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,5,,2,327,
AN_Net_disconnectDN_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,10,,2,320,
AN_Net_disconnectDN_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,15,,2,299,
AN_Net_disconnectDN_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,20,,2,296,
AN_Net_disconnectDN_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,25,,2,276,
AN_Net_disconnectDN_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,30,,2,266,
AN_Net_disconnectDN_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,35,,2,274,
AN_Net_disconnectDN_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,40,,2,272,
AN_Net_disconnectDN_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,45,,2,275,
AN_Net_disconnectDN_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,disconnectDN,r,50,,2,263,
AN_Net_disconnectDN_w_01FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,1,,2,63,
AN_Net_disconnectDN_w_02FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,2,,2,77,
AN_Net_disconnectDN_w_03FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,3,,2,73,
AN_Net_disconnectDN_w_04FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,4,,2,75,
AN_Net_disconnectDN_w_05FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,5,,2,71,
AN_Net_disconnectDN_w_10FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,10,,2,69,
AN_Net_disconnectDN_w_15FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,15,,2,67,
AN_Net_disconnectDN_w_20FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,20,,2,69,
AN_Net_disconnectDN_w_25FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,25,,2,79,
AN_Net_disconnectDN_w_30FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,30,,2,75,
AN_Net_disconnectDN_w_35FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,35,,2,64,
AN_Net_disconnectDN_w_40FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,40,,2,76,
AN_Net_disconnectDN_w_45FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,45,,2,77,
AN_Net_disconnectDN_w_50FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,disconnectDN,w,50,,2,76,
AN_Net_slowDN_r_100ms_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,1,100,2,290,
AN_Net_slowDN_r_100ms_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,2,100,2,323,
AN_Net_slowDN_r_100ms_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,3,100,2,315,
AN_Net_slowDN_r_100ms_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,4,100,2,301,
AN_Net_slowDN_r_100ms_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,5,100,2,293,
AN_Net_slowDN_r_100ms_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,10,100,2,287,
AN_Net_slowDN_r_100ms_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,15,100,2,256,
AN_Net_slowDN_r_100ms_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,20,100,2,243,
AN_Net_slowDN_r_100ms_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,25,100,2,232,
AN_Net_slowDN_r_100ms_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,30,100,2,222,
AN_Net_slowDN_r_100ms_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,35,100,2,211,
AN_Net_slowDN_r_100ms_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,40,100,2,197,
AN_Net_slowDN_r_100ms_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,45,100,2,186,
AN_Net_slowDN_r_100ms_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowDN,r,50,100,2,185,
AN_Net_slowDN_w_20ms_01FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,1,20,2,75,
AN_Net_slowDN_w_20ms_02FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,2,20,2,69,
AN_Net_slowDN_w_20ms_03FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,3,20,2,73,
AN_Net_slowDN_w_20ms_04FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,4,20,2,58,
AN_Net_slowDN_w_20ms_05FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,5,20,2,78,
AN_Net_slowDN_w_20ms_10FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,10,20,2,66,
AN_Net_slowDN_w_20ms_15FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,15,20,2,55,
AN_Net_slowDN_w_20ms_20FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,20,20,2,66,
AN_Net_slowDN_w_20ms_25FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,25,20,2,60,
AN_Net_slowDN_w_20ms_30FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,30,20,2,60,
AN_Net_slowDN_w_20ms_35FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,35,20,2,49,
AN_Net_slowDN_w_20ms_40FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,40,20,2,49,
AN_Net_slowDN_w_20ms_45FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,45,20,2,49,
AN_Net_slowDN_w_20ms_50FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowDN,w,50,20,2,47,
AN_Net_slowHDFS_r_000ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,0,2,312,
AN_Net_slowHDFS_r_010ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,10,2,323,
AN_Net_slowHDFS_r_020ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,20,2,314,
AN_Net_slowHDFS_r_030ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,30,2,288,
AN_Net_slowHDFS_r_040ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,40,2,257,
AN_Net_slowHDFS_r_050ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,50,2,261,
AN_Net_slowHDFS_r_060ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,60,2,226,
AN_Net_slowHDFS_r_070ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,70,2,212,
AN_Net_slowHDFS_r_080ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,80,2,203,
AN_Net_slowHDFS_r_090ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,90,2,188,
AN_Net_slowHDFS_r_100ms_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Net,slowHDFS,r,,100,2,183,
AN_Net_slowHDFS_rpc_0000ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,0,2,9769,
AN_Net_slowHDFS_rpc_0100ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,100,2,6109,
AN_Net_slowHDFS_rpc_0200ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,200,2,4455,
AN_Net_slowHDFS_rpc_0300ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,300,2,3498,
AN_Net_slowHDFS_rpc_0400ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,400,2,2880,
AN_Net_slowHDFS_rpc_0500ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,500,2,2443,
AN_Net_slowHDFS_rpc_0600ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,600,2,2120,
AN_Net_slowHDFS_rpc_0700ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,700,2,1878,
AN_Net_slowHDFS_rpc_0800ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,800,2,1681,
AN_Net_slowHDFS_rpc_0900ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,900,2,1525,
AN_Net_slowHDFS_rpc_1000ms_30C_0to0INT_5RT_1WT.sql,True,AN,Net,slowHDFS,rpc,,1000,2,1394,
AN_Net_slowHDFS_w_00ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,0,2,72,
AN_Net_slowHDFS_w_02ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,2,2,62,
AN_Net_slowHDFS_w_04ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,4,2,74,
AN_Net_slowHDFS_w_06ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,6,2,63,
AN_Net_slowHDFS_w_08ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,8,2,61,
AN_Net_slowHDFS_w_10ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,10,2,54,
AN_Net_slowHDFS_w_12ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,12,2,71,
AN_Net_slowHDFS_w_14ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,14,2,58,
AN_Net_slowHDFS_w_16ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,16,2,56,
AN_Net_slowHDFS_w_18ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,18,2,57,
AN_Net_slowHDFS_w_20ms_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Net,slowHDFS,w,,20,2,53,
AN_Proc_killDN_r_00FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,0,,1,346,
AN_Proc_killDN_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,1,,1,333,
AN_Proc_killDN_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,2,,1,364,
AN_Proc_killDN_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,3,,1,353,
AN_Proc_killDN_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,4,,1,328,
AN_Proc_killDN_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,5,,1,343,
AN_Proc_killDN_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,10,,1,338,
AN_Proc_killDN_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,15,,1,350,
AN_Proc_killDN_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,20,,1,356,
AN_Proc_killDN_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,25,,1,335,
AN_Proc_killDN_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,30,,1,369,
AN_Proc_killDN_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,35,,1,372,
AN_Proc_killDN_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,40,,1,375,
AN_Proc_killDN_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,45,,1,372,
AN_Proc_killDN_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Proc,killDN,r,50,,1,371,
AN_Proc_killDN_w_00FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,0,,1,69,
AN_Proc_killDN_w_01FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,1,,1,80,
AN_Proc_killDN_w_02FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,2,,1,70,
AN_Proc_killDN_w_03FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,3,,1,69,
AN_Proc_killDN_w_04FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,4,,1,72,
AN_Proc_killDN_w_05FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,5,,1,67,
AN_Proc_killDN_w_10FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,10,,1,74,
AN_Proc_killDN_w_15FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,15,,1,87,
AN_Proc_killDN_w_20FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,20,,1,84,
AN_Proc_killDN_w_25FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,25,,1,82,
AN_Proc_killDN_w_30FDN_30C_1to19B_0to600INT_15RT_5WT.sql,True,AN,Proc,killDN,w,30,,1,82,
